produit,Continent,valeur_2000,valeur_2001,valeur_2002,valeur_2003,valeur_2004,valeur_2005,valeur_2006,valeur_2007,valeur_2008,valeur_2009,valeur_2010,valeur_2011,valeur_2012,valeur_2013,valeur_2014,valeur_2015,valeur_2016,valeur_2017,valeur_2018,valeur_2019,valeur_2020,valeur_2021,valeur_2022,valeur_2023,poids_2000,poids_2001,poids_2002,poids_2003,poids_2004,poids_2005,poids_2006,poids_2007,poids_2008,poids_2009,poids_2010,poids_2011,poids_2012,poids_2013,poids_2014,poids_2015,poids_2016,poids_2017,poids_2018,poids_2019,poids_2020,poids_2021,poids_2022,poids_2023
CITRON,AFRIQUE,0,22000,46535,39250,51755,80992,89458,0,0,6362,6557096,19026744.0,22920260.548,20678708.0,1678631.0,2375695.5,4206576.68,4066126.85,11281093.469999999,15426979.192,15954488.246,5997596.759,11406988.654,14363771.5,0,3700,10940,7550,14306,7655,34800,0,0,276,2701192,7889781,7970701.0,7646370.0,765910.61,817483.0,1811274.6,1762445.52,5660018.0,7129230.61,5785634.0,1975092.0,2779827.0,3011965.0
CITRON,AMERIQUE,0,84,0,0,0,0,0,405000,500,137466,3671307,2242429.0,2053434.0,898274.0,3304582.0,4815713.0,2198709.07,6129189.05,5519737.6,7451970.7,5076106.526,8943919.398,8370264.076,2266861.0,0,12,0,0,0,0,0,81000,40,20859,726129,426847,373112.8,179642.5,630148.0,856047.2,306481.0,786485.0,1414780.0,1265108.0,688382.775,901800.0,1819098.0,601719.0
CITRON,ASIE,0,0,1263,180,0,0,1300,0,2524117,812593,1422449,437421.0,892376.0,471327.0,2914364.2199999997,9596083.03,7121838.0,5866296.79,862425.0,7449497.775,2539682.0,1843987.892,253994.31,155750.7,0,0,135,50,0,0,100,0,449031,156200,232065,131970,147276.0,78608.0,569240.0,1173574.0,1255387.0,1238677.0,57232.0,931301.4,418249.225,238483.27,28177.3,4902.6
CITRON,AUSTRALIE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6267.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
CITRON,AUTRE,0,0,0,0,0,0,0,0,0,0,210000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112338.0,0.0,0.0,2604.0,10981.0,0,0,0,0,0,0,0,0,0,0,70000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14715.0,0.0,0.0,58.5,419.65
CITRON,EUROPE,488949,478626,651167,111858,234237,183209,360481,21531141,62124150,28953621,55263485,46886858.763836995,37283713.161,32605118.994,33640739.949999996,28296465.85,59783454.883,56812729.626,20269311.456,53834320.76,77288893.262,40985414.511,28308412.659,22518154.608,140270,192275,148658,24573,26788,22480,45095,4095313,12378288,5666717,9890528,8761116,5365896.68,3763118.85,5467384.0,5090216.8,7212551.74,9009288.77,3630117.5,6025654.03,8074556.53,4881528.58,3668360.1,2524388.7
TOMATE,AFRIQUE,163090,755374,3927139,7917245,1041046,7505312,4002489,4074481,2070687,3632339,2422166,531279.0,2424885.3,948401.0,3608712.0,166436.0,18000.0,289160.57,2301745.6,1117456.0,3968443.0,687400.4739999999,517425.275,708411.948,18092,61683,487211,748306,86853,615256,287263,455208,168018,379976,285572,26978,190957.0,74334.3,325943.6,9410.64,3302.0,18712.3,157143.66,60717.58,417076.14,45153.57,29855.73,37156.636
TOMATE,AMERIQUE,37872698,12367830,9864533,16338472,52953060,49079318,24112974,54752810,21641493,25661817,24034607,19550330.0,11795300.07,806760.85,649626.15,552350.0,61522.0,340618.29,447973.62,264491.13,513804.0,772050.65,886912.0,1231579.0,1081400,349218,274413,544040,1930986,1807224,912193,2315823,833581,756088,689293,620074,345261.196,26791.23,21313.08,25367.62,2728.6299999999997,17983.850000000002,26795.46,11171.05,26026.5,56914.04,30431.82,42725.009999999995
TOMATE,ASIE,29665800,23110532,17814992,24999418,16191948,18607769,19173335,16968254,13085220,14731556,15289264,13116653.0,20607798.1,70565.0,3514.0,28.0,23.0,32.0,1647.0,0.0,38757.0,9424.0,2576414.0,2098.0,704000,499975,399025,579512,396497,476000,487050,467775,372000,347704,365000,323000,496199.4,625.12,93.0,1.8,15.0,4.0,20.3,0.0,1948.32,321.0,198115.54,21.35
TOMATE,AUSTRALIE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2778.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOMATE,AUTRE,1447,393,0,386,0,0,41972,0,0,25830,81880,0.0,0.0,1020.0,0.0,621430.77,92099.6,193409.2,581818.1000000001,573956.0,94350.8,133660.6,374471.0,300540.44,138,40,0,42,0,0,1317,0,0,2906,7424,0,0.0,68.0,0.0,104132.6,20118.0,23614.6,72686.652,71574.66,11767.52,16667.82,46697.55,37267.48
TOMATE,EUROPE,1109867,5472953,12738551,4204957,6264013,9526564,19734701,29118469,59376610,63715036,49803318,49042573.0,42555643.45,37006524.69,38917985.97,45426512.18,50274023.47,89641151.49,116345006.715,112235467.71,77755659.28,118050192.648,132155263.26,131743462.775,39494,228298,479951,298843,189066,301823,770404,785507,1727094,1856035,1366982,1267850,1084625.288,904875.67,1030114.83,1249535.19,1335208.452,2351736.12,3034083.0500000003,3122210.8699999996,2234716.39,3380548.55,3865661.031,3588588.1399999997
MELON,AFRIQUE,0,2634,0,935,60,47626,0,78661,3138,0,1004861,1804250.0,82575.0,483948.07,5277843.0,4310522.38,4710617.0,4664872.385,10205368.49,8797988.028,23760462.0,14182098.887,12119419.79,9966522.95,0,366,0,110,13,13526,0,21644,470,0,346785,436125,44790.0,178990.0,2446598.0,1960531.0,2168847.0,2101496.1,5832256.0,4109808.8,10623387.15,5095696.62,2998303.85,2162197.3
MELON,AMERIQUE,0,0,0,209392,32019,310744,416376,486154,278036,103335,551153,571214.0,2409909.591,349595.94700000004,407912.8,769574.58,107719.43,105559.9,625618.0,802126.0,402273.52,770969.66,188501.4,314888.0,0,0,0,16508,3094,28755,41956,43738,24640,9410,37575,31385,241739.0,19471.219,25553.56,49184.64,7457.64,8126.0,24460.96,45224.759999999995,34001.88,37318.14,7604.01,39173.15
MELON,ASIE,163290,116307,0,51085,10000,90304,49421,52470,159707,224445,93757,18806.0,16816.0,73655.0,1133.45,74160.0,614905.78,507352.0,1308911.0,2702195.5130000003,1152284.35,5616614.319,3174564.17,1124321.635,8577,5580,0,3000,437,9091,2880,3000,11393,32111,5877,1000,920.0,4022.0,50.0,3500.0,36390.7,45750.5,90357.83,138339.77,85238.20999999999,245834.11,106259.65,37174.3
MELON,AUSTRALIE,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13832.582,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2340.0,0.0
MELON,AUTRE,590,2024,0,0,0,0,0,185250,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,48140.0,0.0,0.0,0.0,0.0,258.0,4053.0,130,209,0,0,0,0,0,126750,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9960.0,0.0,0.0,0.0,0.0,5.0,122.0
MELON,EUROPE,87424111,109229789,150911362,122079012,187959065,272626512,342149362,442296286,476617407,529543820,466981009,421238803.0,444370168.32,432196299.81299996,401256275.77000004,444408602.59499997,373125103.54,527706712.41700006,632416066.796,570097062.438,561603883.504,637339291.219,668263510.278,841237935.523,13397303,16413102,20033964,15791628,23372007,38867441,42690495,47320560,56743390,56063507,54903949,45707487,48903092.29,47605435.49,42148457.199999996,37629806.96,37552215.424,54672097.59,53812400.57,47067376.70999999,49303618.4,51264528.550000004,42677424.92,54882432.95999999
